signal_date,entry_date,exit_date,symbol,side,decision_price,entry_price,exit_price,return_pct,profit_usd,score,adx,z_dist,trend4h_slope,market_score,sector_score,rs_score,avg_dollar_vol_m,month
2025-02-28,2025-03-03,2025-03-07,DASH,BUY,198.44000244140625,199.88999938964844,178.0800018310547,-10.91099986251899,-54.55499931259495,0.3912,22.69525300694542,0.32,0.0068,0.4,0.4,0.5,914.7,2025-02
2025-02-28,2025-03-03,2025-03-07,BKNG,BUY,200.64039611816406,200.64039611816406,186.93519592285156,-6.8307282384156744,-34.153641192078375,0.3633,25.21160043169723,0.46,0.0021,0.4,0.4,1.0,1432.4,2025-02
2025-03-03,2025-03-04,2025-03-10,CF,SELL,77.97000122070312,77.5,77.0999984741211,0.5161310011340726,2.580655005670363,0.5464,25.44486592617628,-1.59,-0.0036,0.4,0.8,1.0,261.9,2025-03
2025-03-04,2025-03-05,2025-03-11,BX,SELL,150.72999572753906,151.85000610351562,138.13999938964844,9.028650749293433,45.14325374646717,0.4825,29.16747396272842,-2.25,-0.0037,0.4,0.2,1.0,632.5,2025-03
2025-03-05,2025-03-06,2025-03-12,BRK-B,BUY,498.5,496.8399963378906,495.94000244140625,-0.1811436082276089,-0.9057180411380444,0.5021,25.970815797678615,1.05,0.0034,0.4,0.6,1.0,2097.0,2025-03
2025-03-06,2025-03-07,2025-03-13,DPZ,BUY,480.239990234375,480.5,428.6700134277344,-10.786677746569328,-53.933388732846645,0.4245,19.674334828556255,0.63,0.0032,0.4,0.4,1.0,319.7,2025-03
2025-03-06,2025-03-07,2025-03-13,DE,BUY,482.8399963378906,478.2699890136719,467.0899963378906,-2.337590259183429,-11.687951295917145,0.3503,20.24455510746386,0.55,0.0028,0.4,0.4,1.0,786.1,2025-03
2025-03-07,2025-03-10,2025-03-14,AEP,BUY,104.62000274658203,104.91000366210938,105.55999755859375,0.6195728470069009,3.0978642350345043,0.42,44.73604108206563,0.53,0.0023,0.4,0.4,1.0,356.4,2025-03
2025-03-10,2025-03-11,2025-03-17,BXP,SELL,68.16999816894531,68.5,68.63999938964844,-0.20437867101961682,-1.021893355098084,0.4028,20.835551203450507,-0.65,-0.0037,0.4,0.6,0.5,95.2,2025-03
2025-03-10,2025-03-11,2025-03-17,DUK,BUY,118.5,118.27999877929688,120.80999755859375,2.138991211876571,10.694956059382854,0.3697,31.84729333327207,1.48,0.0022,0.4,0.4,1.0,438.5,2025-03
2025-03-10,2025-03-11,2025-03-17,BRK-B,BUY,497.1000061035156,496.0,523.010009765625,5.445566485005041,27.227832425025202,0.3628,25.701511211186,0.7,0.0028,0.4,0.4,1.0,2190.3,2025-03
2025-03-11,2025-03-12,2025-03-18,DVA,SELL,146.6300048828125,145.89999389648438,149.3699951171875,-2.378342265843466,-11.89171132921733,0.4484,32.99592573574142,-0.77,-0.0023,0.6,0.6,0.0,209.9,2025-03
2025-03-11,2025-03-12,2025-03-18,BRK-B,BUY,496.25,497.6000061035156,523.1400146484375,5.132638310219151,25.663191551095753,0.3497,25.68817357806633,0.55,0.0027,0.4,0.4,1.0,2254.9,2025-03
2025-03-12,2025-03-13,2025-03-19,DVA,SELL,142.6300048828125,142.8000030517578,149.8300018310547,-4.922968227632919,-24.614841138164593,0.5028,31.983012317503096,-1.34,-0.0039,0.6,0.6,0.5,214.2,2025-03
2025-03-12,2025-03-13,2025-03-19,CARR,SELL,65.43000030517578,65.05999755859375,67.68000030517578,-4.02705632477534,-20.135281623876697,0.3313,17.46044083135635,-0.1,-0.0025,0.6,0.4,0.0,402.0,2025-03
2025-03-13,2025-03-14,2025-03-20,AIG,BUY,81.55000305175781,81.55000305175781,83.70999908447266,2.6486768263441345,13.243384131720672,0.4189,20.723758874381236,1.1,0.0033,0.4,0.4,1.0,433.5,2025-03
2025-03-13,2025-03-14,2025-03-20,COR,BUY,256.010009765625,255.58999633789062,267.8399963378906,4.792832339105114,23.964161695525572,0.4174,29.5923972505059,0.73,0.0023,0.4,0.2,1.0,405.5,2025-03
2025-03-14,2025-03-17,2025-03-21,AMGN,BUY,313.7099914550781,314.6400146484375,316.0400085449219,0.44495100155924405,2.2247550077962206,0.4477,40.27552515566463,0.59,0.0025,0.4,0.0,1.0,961.8,2025-03
2025-03-14,2025-03-17,2025-03-21,CMS,BUY,72.7699966430664,73.0,73.5,0.684931506849315,3.4246575342465753,0.413,31.34274738515426,0.85,0.0022,0.4,0.6,1.0,173.6,2025-03
2025-03-14,2025-03-17,2025-03-21,COR,BUY,258.07000732421875,257.2699890136719,267.42999267578125,3.949160063737341,19.745800318686705,0.4077,29.539527599745185,1.01,0.0026,0.4,0.0,1.0,395.2,2025-03
2025-03-14,2025-03-17,2025-03-21,AEP,BUY,105.55999755859375,105.66999816894531,105.11000061035156,-0.5299494353150507,-2.649747176575253,0.3871,40.361818022095676,0.68,0.0025,0.4,0.6,0.5,374.6,2025-03
2025-03-17,2025-03-18,2025-03-24,AMGN,BUY,317.1700134277344,317.55999755859375,314.3800048828125,-1.0013832662265663,-5.006916331132832,0.414,39.392140329245954,0.96,0.0029,0.2,0.2,1.0,966.3,2025-03
2025-03-17,2025-03-18,2025-03-24,BMY,BUY,59.9900016784668,59.880001068115234,61.04999923706055,1.9539047229047404,9.7695236145237,0.3208,23.879585670591307,0.45,0.0022,0.2,0.2,1.0,741.2,2025-03
